file_name,name,dealer,type,how-to-earn,dealer-cosplay,fandom,days
Koty_-_+1_friend.jpg,+1 friend,Koty,Achievement,Add your name to Komi's list of friends (your own name/nickname/online name or the name of the character you're cosplaying),Cosplaying as Komi Shouko,Komi Can't Communicate,Friday
srsbznss-Thomas_-_988_Suicide_&_Crisis_Lifeline.png,988 Suicide & Crisis Lifeline,srsbznss/Thomas,Connection,Ask Thomas for one,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Koty_-_A_decent_sized_frog.jpg,A decent sized frog,Koty,Connection,Ask for one! Then tell me your favorite plant or the weirdest food you've ever tried,"Maomao blue and green ""hunt/frog scene"" outfit",Apothecary Diaries,"Saturday, Sunday"
Pawsitively_Cozy_-_All_My_Best_Friends_Have_Paws.png,All My Best Friends Have Paws,Pawsitively Cozy,Action,"Trade a Cat Ribbon/Sticker, Spend $15+ at my Aritst Alley Booth, or Buy for $5",Pawsitively Cozy - Artist Alley Booth #34,N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_All_Out_of_Money.png,All Out of Money,srsbznss/Thomas,Achievement,Somehow convince Thomas that you don't have any money,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
"Valentine_and_Leo_-_Argument_Between_Roommates.jpg","Argument Between ""Roommates""",Valentine and Leo,Connection,Get into a friendly debate with one of us about something absurd.,Kaveh and Al-Haitham,Genshin Impact,Saturday
srsbznss-Thomas_-_ash_nazg_durbatuluk.png,ash nazg durbatulûk,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Lord of the Rings cosplay
 - Show Thomas a picture you took (with permission) of someone in Lord of the Rings cosplay at Nebkon 2025
 - Show Thomas Lord of the Rings merch that you've purchased (online photos don't count!)
 - Tell Thomas what ""ash nazg durbatulûk"" means","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Lord of the Rings,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Wes_-_Been_duplicated.png,Been duplicated,Wes,Action,Take a picture with me!,Twice,My Hero Academia,Sunday
Ed_-_Promotions_-_Beep_Beep_I'm_a_Sheep.jpg,Beep Beep I'm a Sheep,Ed - Promotions,Connection,Come up to me and say hi!,"Staff shirt, maybe a walkie, probably also a camera.",asdfmovie,"Friday, Saturday, Sunday"
Bravo_-_Blank.png,Blank,Bravo,Achievement,Must find a lucky item of my choosing,Red Staff shirt/half maid outfit or devil outfit/ idol glow sticks/ rose tinted glasses,N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Certifiably_Funny.png,Certifiably Funny,srsbznss/Thomas,Achievement,Make Thomas laugh,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Lumeria_Lighthouse_Cos_-_Certified_Waifu_Expert.png,Certified Waifu Expert,Lumeria Lighthouse Cos,Exclusive,Come and participate in our panel on Saturday evening at 11:00 pm (Who’s That Anime Waifu?!),"Shion from ""That Time I Got Reincarnated as a Slime""","N/A",Saturday
Logan_-_Chaos.jpg,Chaos,Logan,Action,Scan the QR code,Probably working the volunteer table,N/A,"Friday, Saturday, Sunday"
Ed_-_Promotions_-_comfy_programmer_socks.jpg,comfy programmer socks,Ed - Promotions,Connection,Trade me a ribbon that I do not have yet.,"Staff shirt, maybe a walkie, probably also a camera.",N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Crime_Coefficient_Under_50.png,Crime Coefficient Under 50,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Psycho-Pass cosplay
 - Show Thomas a picture you took (with permission) of someone in Psycho-Pass cosplay from Nebkon
 - Show Thomas a picture/autograph/video you received from a guest that voiced a character in Psycho-Pass
 - Show Thomas Psycho-Pass merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Psycho-Pass,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
